h,herr,Az,Azerr,t
"2,507043821","0,2530769788","10,14731114","0,1107211782","0,4375"
"2,34887071","0,2530769788","10,20264491","0,1107211782","0,5"
"2,000889864","0,2530769788","10,52642059","0,1107211782","0,8125"
"1,621274395","0,2530769788","10,81113219","0,1107211782","0,9375"
"1,099303127","0,2530769788","11,199208","0,1107211782","1,9375"
"0,8383174923","0,2530769788","11,45207416","0,1107211782","2,3125"
