#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.51740202300572165e+01  -8.93640867107260384e+00  6.20677469341834342e+00   +7.47998435412242091e-01  +4.66203992202568696e-01  +1.18319141943854866e+01  +1.32531717963689346e+02  +2.85409420854922303e+02  +2.81413708296790617e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.49819716577094226e+01  -9.11553320903671604e+00  6.11257944004368170e+00   +7.52151592966045279e-01  +4.52543129237901021e-01  +1.16699171709427105e+01  +1.32533776750556029e+02  +2.85368066258272506e+02  +2.79359654055340457e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.48243403922339922e+01  -9.26255657532267129e+00  6.03526505644942368e+00   +7.55644793656047420e-01  +4.41248421208612462e-01  +1.15353025193829204e+01  +1.32535566140872504e+02  +2.85331991140714422e+02  +2.77692598037825746e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.52518033435887617e+01  -8.86386002307997067e+00  6.24492545912206065e+00   +7.46346968790564502e-01  +4.71707875679595989e-01  +1.18969491604198705e+01  +1.32530918238746608e+02  +2.85425432339273186e+02  +2.82252431383899420e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.48931750059787191e+01  -9.19835423196636093e+00  6.06902679601023287e+00   +7.54109729096448467e-01  +4.46190150778486283e-01  +1.15942796692517440e+01  +1.32534772922516169e+02  +2.85347995982099462e+02  +2.78418397974809750e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.47376087789156358e+01  -9.34345152795162548e+00  5.99272526460280019e+00   +7.57600884368895833e-01  +4.34999866028196180e-01  +1.14605420370192501e+01  +1.32536593364143783e+02  +2.85311238207509348e+02  +2.76783038182242649e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.51306544233980418e+01  -8.97685614738707827e+00  6.18550479749503257e+00   +7.48926710441804033e-01  +4.63128379147920599e-01  +1.17955155852421374e+01  +1.32532172061025705e+02  +2.85400315454138081e+02  +2.80947768259979796e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.46921779338441141e+01  -9.38582507456679060e+00  5.97044251649266755e+00   +7.58635485944743615e-01  +4.31716686436504571e-01  +1.14211732028838249e+01  +1.32537144442089641e+02  +2.85300094222312111e+02  +2.76308861224391705e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.44939342462592933e+01  -9.57072782343297312e+00  5.87320870655753069e+00   +7.63233701282589938e-01  +4.17303740230865972e-01  +1.12475789527910734e+01  +1.32539663296623331e+02  +2.85249090498625947e+02  +2.74258682380914820e+02  +8.71990412667072405e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192580410033613e+07  1.10089359587698147e+08   -8.71699503120897134e+03  -3.44615819777992698e+01  -9.60090292481043761e+00  5.85734068896394788e+00   +7.63997461217410523e-01  +4.14937630270761248e-01  +1.12189534504680175e+01  +1.32540093326304628e+02  +2.85240375704952953e+02  +2.73927136144405608e+02  +8.71990412667072405e+01  
