#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.51780108591475908e+01  -8.92424670132708187e+00  6.17645530710536761e+00   +7.47547762316885134e-01  +4.66371580665149221e-01  +1.17936522011953393e+01  +1.32531671604504709e+02  +2.85336547366634761e+02  +2.81395296352158709e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.49859031189288956e+01  -9.10355288624781700e+00  6.08272746600552860e+00   +7.51708517130328047e-01  +4.52716760519267403e-01  +1.16326121282004991e+01  +1.32533722140910015e+02  +2.85295715212040363e+02  +2.79342947990543564e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.48282232891436578e+01  -9.25072534627236287e+00  6.00579672904544282e+00   +7.55208088450368686e-01  +4.41426806003863192e-01  +1.14987962718004120e+01  +1.32535504826037624e+02  +2.85260084552625301e+02  +2.77677330795203432e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.52558179367272047e+01  -8.85162448306169125e+00  6.21441676246122032e+00   +7.45893267163323270e-01  +4.71872939389791635e-01  +1.18583044477664963e+01  +1.32530875245619683e+02  +2.85352352718338864e+02  +2.82233343415494971e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.48970791100105728e+01  -9.18645789647998789e+00  6.03939093732495635e+00   +7.53670226417224476e-01  +4.46366482953016064e-01  +1.15574230796712438e+01  +1.32534714528087278e+02  +2.85275893471142012e+02  +2.78402498172283515e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.47414649548513452e+01  -9.33170233301076024e+00  5.96346802661325714e+00   +7.57167739534944428e-01  +4.35180785405166970e-01  +1.14244806718453979e+01  +1.32536528386443678e+02  +2.85239582754804815e+02  +2.76768577284311107e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.51346316920014345e+01  -8.96473519469627789e+00  6.15529095588927699e+00   +7.48477737730977810e-01  +4.63297355966705571e-01  +1.17574681656166451e+01  +1.32532123831317477e+02  +2.85327558219398327e+02  +2.80929736955334761e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.46960201130791859e+01  -9.37411884987372979e+00  5.94129584914877817e+00   +7.58204222336904765e-01  +4.31898910219867427e-01  +1.13853464415334145e+01  +1.32537077553485915e+02  +2.85228572299995449e+02  +2.76294826819099853e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.44977153489824673e+01  -9.55920910527578194e+00  5.84454452930378032e+00   +7.62810784201712777e-01  +4.17491465568591180e-01  +1.12127890298633766e+01  +1.32539588132684173e+02  +2.85178168420086308e+02  +2.74246541810060364e+02  +8.71814522168626524e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192648542271852e+07  1.10089360984507412e+08   -8.70763356239127097e+03  -3.44653531131750128e+01  -9.58941480667819945e+00  5.82875525141240747e+00   +7.63575928402334903e-01  +4.15126223545054684e-01  +1.11843348241457718e+01  +1.32540016821811520e+02  +2.85169554340664092e+02  +2.73915309647692766e+02  +8.71814522168626524e+01  
