#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.51795947512362517e+01  -8.93148731102111526e+00  6.18641031647027084e+00   +7.47798184879907790e-01  +4.66402850621089937e-01  +1.18049972773324470e+01  +1.32531664050051745e+02  +2.85384295781415290e+02  +2.81428518713733126e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.49874599217482682e+01  -9.11068434855292963e+00  6.09252938636491770e+00   +7.51954600837806741e-01  +4.52742134738410851e-01  +1.16436899017645334e+01  +1.32533719364350873e+02  +2.85343291832378554e+02  +2.79374440934170082e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.48297578574015034e+01  -9.25776722165251797e+00  6.01547299570496818e+00   +7.55450512869122681e-01  +4.41447432808378060e-01  +1.15096501404280964e+01  +1.32535505915562823e+02  +2.85307512212067479e+02  +2.77707357068027193e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.52574128004553913e+01  -8.85890929940428862e+00  6.22443377561688482e+00   +7.46145411602748054e-01  +4.71906631792443021e-01  +1.18697561388041528e+01  +1.32530865736271267e+02  +2.85400167930592545e+02  +2.82267248236260457e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.48986233876839265e+01  -9.19353889278806946e+00  6.04912207459577544e+00   +7.53914260035157047e-01  +4.46389172613738672e-01  +1.15683752367295050e+01  +1.32534713935837743e+02  +2.85323387113525030e+02  +2.78433170144005260e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.47429872892456402e+01  -9.33869491602172808e+00  5.97307515630255015e+00   +7.57408110716175420e-01  +4.35198835826480057e-01  +1.14352095359660044e+01  +1.32536531580118037e+02  +2.85286925103544490e+02  +2.76797778429390632e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.51362094671583165e+01  -8.97195115820571587e+00  6.16521139676906316e+00   +7.48727191639382617e-01  +4.63327283962258474e-01  +1.17687533945405232e+01  +1.32532117361829876e+02  +2.85375268723597856e+02  +2.80962574328019230e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.46975360392592336e+01  -9.38108561307226196e+00  5.95086676423461824e+00   +7.58443506298236536e-01  +4.31915621325777099e-01  +1.13960092996679201e+01  +1.32537081842488590e+02  +2.85275868953219458e+02  +2.76323590613966246e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.44992033120458359e+01  -9.56606320020187972e+00  5.85395741702909156e+00   +7.63045225402057437e-01  +4.17502415660366333e-01  +1.12231594686577569e+01  +1.32539597143290052e+02  +2.85225256947219748e+02  +2.74273355779898679e+02  +8.72016054815121606e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.44668365128130958e+01  -9.59625051476816893e+00  5.83814234995040948e+00   +7.63809563463263119e-01  +4.15136246479053728e-01  +1.11946568423297279e+01  +1.32540026593578489e+02  +2.85216607463934793e+02  +2.73941799016182131e+02  +8.72016054815121606e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79800000000000004e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.48084120587255654e+01  -8.40820516140229657e+00  5.90676147607749513e+00   +7.26411516455586104e-01  +4.54683319316314283e-01  +1.15797927678050332e+01  +1.32533336716847629e+02  +2.80717039004471303e+02  +2.76780561618354398e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.77010000000000005e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.46220369606730998e+01  -8.59552209435922876e+00  5.81721992452996162e+00   +7.30801106185003158e-01  +4.41596270148221393e-01  +1.14202280455074110e+01  +1.32535011095429240e+02  +2.80647964838324697e+02  +2.74905012404570414e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.74720000000000013e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.44690624178271676e+01  -8.74926968449234010e+00  5.74372524601962020e+00   +7.34494225274345380e-01  +4.30768357831199766e-01  +1.12877266118167707e+01  +1.32536490802191764e+02  +2.80587830408852369e+02  +2.73390846009652648e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.80930000000000000e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.48838973134923407e+01  -8.33233844662045620e+00  5.94302740914155159e+00   +7.24666400086257934e-01  +4.59953180973799891e-01  +1.16438860650793856e+01  +1.32532694683250526e+02  +2.80743814214263125e+02  +2.77549355379700046e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.75719999999999992e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.45358635282402346e+01  -8.68213099884469663e+00  5.77581899209400529e+00   +7.32871185941349257e-01  +4.35506705813899053e-01  +1.13457678018367520e+01  +1.32535832125004987e+02  +2.80614493513704076e+02  +2.74049162658455657e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.73460000000000001e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.43848930187066912e+01  -8.83386442840837560e+00  5.70328712596589682e+00   +7.36562703586909340e-01  +4.24775058512182835e-01  +1.12141748950236284e+01  +1.32537350122384879e+02  +2.80553297952118101e+02  +2.72567929348017799e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79170000000000016e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.47663273591653308e+01  -8.45050253336031432e+00  5.88654241605063255e+00   +7.27392521390580971e-01  +4.51737771810231836e-01  +1.15439299517300675e+01  +1.32533703379700057e+02  +2.80701819508732115e+02  +2.76354196861062917e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.72800000000000011e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.43408042858340679e+01  -8.87817596093582218e+00  5.68210525355680041e+00   +7.37656879654542408e-01  +4.21625140520288488e-01  +1.11754524881876591e+01  +1.32537814006640332e+02  +2.80534774712140518e+02  +2.72139865709482706e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69920000000000009e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.41484170878444218e+01  -9.07153537560104439e+00  5.58967526486257249e+00   +7.42521009029049606e-01  +4.07790172998887257e-01  +1.10047879003478020e+01  +1.32539958953229558e+02  +2.80450192368008913e+02  +2.70296924393089739e+02  +8.93760644609532164e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69450000000000003e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.41170205659502770e+01  -9.10309055785543642e+00  5.57459120420760890e+00   +7.43329123031345795e-01  +4.05517847094535533e-01  +1.09766576117077133e+01  +1.32540329046049806e+02  +2.80435773906409224e+02  +2.70000148678749042e+02  +8.93760644609532164e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.79800000000000004e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.49175573833166339e+01  -8.83173717414656956e+00  6.51677415462295784e+00   +7.44665012018892236e-01  +4.56586746784575725e-01  +1.23922286817635907e+01  +1.32533840758484047e+02  +2.84218260647935665e+02  +2.79271993772571193e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.77010000000000005e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.47294886509170624e+01  -9.01248205862988527e+00  6.41776688909799287e+00   +7.48852165628314026e-01  +4.43125927478700221e-01  +1.22177707677270284e+01  +1.32535831813050379e+02  +2.84159742943623939e+02  +2.77285080217612858e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.74720000000000013e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.45751239924242242e+01  -9.16083538675418296e+00  6.33650286112230710e+00   +7.52375329449112673e-01  +4.31995462522205720e-01  +1.20727913559534468e+01  +1.32537567559988190e+02  +2.84108950539818238e+02  +2.75675814987653894e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.80930000000000000e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.49937285903458530e+01  -8.75853225677519021e+00  6.55687387148432510e+00   +7.43000522743806013e-01  +4.62009614718143835e-01  +1.24622618237743712e+01  +1.32533069106014437e+02  +2.84241001887754919e+02  +2.80084518126033174e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.75719999999999992e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.46425321402376909e+01  -9.09605227403615046e+00  6.37198933622085839e+00   +7.50826944539959573e-01  +4.36865461890783013e-01  +1.21363104993349289e+01  +1.32536797529397234e+02  +2.84131455744146081e+02  +2.76376075630248124e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.73460000000000001e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.44901897261792527e+01  -9.24246210877890917e+00  6.29178990249812919e+00   +7.54348740468141044e-01  +4.25837311939331054e-01  +1.19922714040298111e+01  +1.32538566133551086e+02  +2.84079836867314327e+02  +2.74799116033335451e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.79170000000000016e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.48750902501941553e+01  -8.87255053515892911e+00  6.49441767531086889e+00   +7.45600731172094688e-01  +4.53556302076933149e-01  +1.23530315713955403e+01  +1.32534279356458853e+02  +2.84205349293211896e+02  +2.78820906883447890e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.72800000000000011e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.44457003486223670e+01  -9.28521896317280948e+00  6.26836882893308367e+00   +7.55392659399606092e-01  +4.22601500562960253e-01  +1.19498688708102172e+01  +1.32539102474021149e+02  +2.84064234646755722e+02  +2.74342459978289241e+02  +8.71536421278486557e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.69920000000000009e+01  -9.94192617630831897e+07  1.10089362037271827e+08   -8.71080094957387337e+03  -3.42515648829195811e+01  -9.47179432780075103e+00  6.16616778064925164e+00   +7.60033586272931050e-01  +4.08395397517890890e-01  +1.17628931606708171e+01  +1.32541559423092281e+02  +2.83993099395214870e+02  +2.72371285119447180e+02  +8.71536421278486557e+01  
