#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.51735913825154967e+01  -8.92348243135308827e+00  6.18413341407153005e+00   +7.47540657176108181e-01  +4.66227521758591834e-01  +1.18047861225970614e+01  +1.32531710307317923e+02  +2.85326824892726790e+02  +2.81367897681975762e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.49815534275392466e+01  -9.10280122171112005e+00  6.09028675577686407e+00   +7.51701673796468683e-01  +4.52575789155586050e-01  +1.16434481057897923e+01  +1.32533760485257176e+02  +2.85285861574759906e+02  +2.79316499155687552e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.48239308766806133e+01  -9.24998402813401555e+00  6.01325849502604992e+00   +7.55201489456444497e-01  +4.41288392523884854e-01  +1.15093844751862822e+01  +1.32535542899324156e+02  +2.85250122664318383e+02  +2.77651692484278158e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.52513701958212806e+01  -8.85085510765969374e+00  6.22214299252062197e+00   +7.45886066778823076e-01  +4.71727638602873478e-01  +1.18695578726404012e+01  +1.32530914101151268e+02  +2.85342683157587317e+02  +2.82205571727151266e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.48927616849158255e+01  -9.18571206026375897e+00  6.04689529011374027e+00   +7.53663517379707826e-01  +4.46226949790927696e-01  +1.15681198509158829e+01  +1.32534752716932871e+02  +2.85265978924105582e+02  +2.78376502474005633e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.47372040583042434e+01  -9.33096670765054981e+00  5.97087613321555466e+00   +7.57161286745063000e-01  +4.35043788853957503e-01  +1.14349312398820757e+01  +1.32536566320823056e+02  +2.85229561053921429e+02  +2.76743396934645602e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.51302279733273082e+01  -8.96397377111135363e+00  6.16294223316628198e+00   +7.48470688349460400e-01  +4.63153991561812917e-01  +1.17685351735530492e+01  +1.32532162450718289e+02  +2.85317806192162607e+02  +2.80902549167452548e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.46917757248690037e+01  -9.37338620644491805e+00  5.94867584845767894e+00   +7.58197849551536907e-01  +4.31762658662855514e-01  +1.13957245318067759e+01  +1.32537115418274766e+02  +2.85218519193323289e+02  +2.76269889778128345e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.44935429971515930e+01  -9.55848947391127268e+00  5.85180187860512113e+00   +7.62804788271051248e-01  +4.17358488322118470e-01  +1.12228476458410853e+01  +1.32539625722039403e+02  +2.85167977492338650e+02  +2.74222694242583714e+02  +8.71689252661008993e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.44611925172810416e+01  -9.58869729881029542e+00  5.83599258491390316e+00   +7.63569998813155237e-01  +4.14993784367070406e-01  +1.11943407888849080e+01  +1.32540054370916181e+02  +2.85159340879246145e+02  +2.73891644246057524e+02  +8.71689252661008993e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79800000000000004e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.48020038923318040e+01  -8.40043125517587086e+00  5.90459007664277191e+00   +7.26139630900721866e-01  +4.54532455823212223e-01  +1.15797319142008721e+01  +1.32533338711284244e+02  +2.80656682172505043e+02  +2.76719307699998978e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.77010000000000005e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.46157319501342755e+01  -8.58786635688837485e+00  5.81508115979096729e+00   +7.30533980193529220e-01  +4.41453785850079772e-01  +1.14201328668810334e+01  +1.32535008351915536e+02  +2.80587661571537978e+02  +2.74846597899157075e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.74720000000000013e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.44628420764309240e+01  -8.74171093858071657e+00  5.74161326746457590e+00   +7.34231138080532308e-01  +4.30632675593685399e-01  +1.12876045742708513e+01  +1.32536484314629433e+02  +2.80527579215422577e+02  +2.73334836140242771e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.80930000000000000e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.48774473671286529e+01  -8.32451667993030675e+00  5.94084279207020582e+00   +7.24392634763030840e-01  +4.59798895127687179e-01  +1.16438396062596006e+01  +1.32532698648012683e+02  +2.80683438515612863e+02  +2.77486979566529101e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.75719999999999992e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.45296062134192852e+01  -8.67452989854039380e+00  5.77369531651540413e+00   +7.32606319929918315e-01  +4.35368061643058635e-01  +1.13456573457279735e+01  +1.32535827255569387e+02  +2.80554218627117905e+02  +2.73992094493516049e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.73460000000000001e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.43787192638255874e+01  -8.82635904903152380e+00  5.70118988566053631e+00   +7.36301892139049730e-01  +4.24643089733476364e-01  +1.12140385932738162e+01  +1.32537341634571845e+02  +2.80493078831831781e+02  +2.72513271166681534e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79170000000000016e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.47599424860291322e+01  -8.44275531040127625e+00  5.88437838574075389e+00   +7.27121695630848497e-01  +4.51588809205938968e-01  +1.15438611954332870e+01  +1.32533704288169702e+02  +2.80641473879391469e+02  +2.76293575455799214e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.72800000000000011e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.43346549334132689e+01  -8.87069853545813913e+00  5.68001573328699205e+00   +7.37397275969975841e-01  +4.21495108592207901e-01  +1.11753088619925460e+01  +1.32537804488760287e+02  +2.80474573421938942e+02  +2.72085923691493008e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69920000000000009e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.41423742188867863e+01  -9.06417993077427120e+00  5.58761943202061317e+00   +7.42266806906241805e-01  +4.07668525603177290e-01  +1.10046135199019464e+01  +1.32539945091131102e+02  +2.80390077734227248e+02  +2.70246173177768640e+02  +8.93435728049944942e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69450000000000003e+01  -9.94192641381026059e+07  1.10089358840711057e+08   -8.70988911682103208e+03  -3.41109950745022559e+01  -9.09575501959322175e+00  5.57254086896672529e+00   +7.43075823542273195e-01  +4.05397557594876279e-01  +1.09764783996493449e+01  +1.32540314499285955e+02  +2.80375674893768462e+02  +2.69949928399883447e+02  +8.93435728049944942e+01  
