#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.51848658159467789e+01  -8.93361365792377882e+00  6.17946419376244016e+00   +7.47849791223998195e-01  +4.66571318242722410e-01  +1.17943893067398076e+01  +1.32531618799904464e+02  +2.85403586261201383e+02  +2.81465297307117737e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.49926473934929234e+01  -9.11277741332336610e+00  6.08569092027542791e+00   +7.52005157007413993e-01  +4.52906081420397955e-01  +1.16333720426909135e+01  +1.32533675353535529e+02  +2.85362700800174593e+02  +2.79409845817887970e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.48348767169985436e+01  -9.25983296883055296e+00  6.00872289293304096e+00   +7.55500156773754927e-01  +4.41607657913261009e-01  +1.14995732647796061e+01  +1.32535462886508526e+02  +2.85327017735922823e+02  +2.77741591215012647e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.52627177218151786e+01  -8.86104912616695728e+00  6.21744405004929668e+00   +7.46197424949764931e-01  +4.72076926695663812e-01  +1.18590317032279060e+01  +1.32530819972357193e+02  +2.85419410180354248e+02  +2.82304566846156774e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.49037722089174878e+01  -9.19561656904575742e+00  6.04233338522229246e+00   +7.53964308041711773e-01  +4.46551024136323249e-01  +1.15581927996615370e+01  +1.32534670482326021e+02  +2.85342850554421375e+02  +2.78467920342450554e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.47480683971806741e+01  -9.34074563255939694e+00  5.96637367264858298e+00   +7.57457232470507225e-01  +4.35357008662010880e-01  +1.14252664155060675e+01  +1.32536489075815354e+02  +2.85306483461447442e+02  +2.76831351674333177e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.51414616560378406e+01  -8.97406998978820170e+00  6.15828958362021339e+00   +7.48778566496178466e-01  +4.63494731932743931e-01  +1.17582106108218820e+01  +1.32532072395327560e+02  +2.85394586025988474e+02  +2.80999047758930089e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.47025973725141768e+01  -9.38312845641736182e+00  5.94419074773767697e+00   +7.58492348649032366e-01  +4.32072717773201331e-01  +1.13861365828502219e+01  +1.32537039608322885e+02  +2.85295454898178207e+02  +2.76356812899906572e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.45041783557876158e+01  -9.56807168779758044e+00  5.84739252994462966e+00   +7.63092799383030318e-01  +4.17654803069724911e-01  +1.12135968354457365e+01  +1.32539556046278534e+02  +2.85244962509589698e+02  +2.74305007890085051e+02  +8.72192774581168209e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.44717974745857134e+01  -9.59825339569643532e+00  5.83159559856868004e+00   +7.63856922661388271e-01  +4.15287863405020274e-01  +1.11851452729702689e+01  +1.32539985675213416e+02  +2.85236332427297157e+02  +2.73973188858027413e+02  +8.72192774581168209e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79800000000000004e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.48137732752327196e+01  -8.41029702716397765e+00  5.89976023694597274e+00   +7.26471598415550091e-01  +4.54839752461456970e-01  +1.15689041921005860e+01  +1.32533308466352764e+02  +2.80738595252824211e+02  +2.76816949444482077e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.77010000000000005e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.46273131853071874e+01  -8.59758121304086842e+00  5.81032719727162927e+00   +7.30860077001790676e-01  +4.41748386480289801e-01  +1.14096408606896720e+01  +1.32534984017320284e+02  +2.80669660080529297e+02  +2.74939913470409351e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.74720000000000013e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.44742688821066636e+01  -8.75130192474627577e+00  5.73692158406222141e+00   +7.34552231009809709e-01  +4.30916924894670483e-01  +1.12773896035708585e+01  +1.32536464621821409e+02  +2.80609639820248447e+02  +2.73424484590493250e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.80930000000000000e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.48892929532312266e+01  -8.33444357553642057e+00  5.93598222075672943e+00   +7.24726912717562621e-01  +4.60111360500662703e-01  +1.16328764304029182e+01  +1.32532665935509897e+02  +2.80765314201744161e+02  +2.77586329460965487e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.75719999999999992e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.45411004555566734e+01  -8.68417497640330360e+00  5.76897643699209617e+00   +7.32929619158893320e-01  +4.35656823510570224e-01  +1.13353212246882809e+01  +1.32535805560199577e+02  +2.80636253059422756e+02  +2.74083357249818334e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.73460000000000001e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.43900610995596452e+01  -8.83588187965842131e+00  5.69653246937058366e+00   +7.36620157005329457e-01  +4.24921670018266029e-01  +1.12039766762503969e+01  +1.32537324408751800e+02  +2.80575170217108564e+02  +2.72600856893872447e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79170000000000016e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.47716693839592068e+01  -8.45258700462004953e+00  5.87956567960015519e+00   +7.27452358449082626e-01  +4.51893230841415139e-01  +1.15331091173188849e+01  +1.32533675401000352e+02  +2.80723407129931729e+02  +2.76390253865583020e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.72800000000000011e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.43459522610826440e+01  -8.88018566556478284e+00  5.67537626643686721e+00   +7.37714037538742873e-01  +4.21770726853150313e-01  +1.11653273034942480e+01  +1.32537788529301594e+02  +2.80556679910179412e+02  +2.72172416124287111e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69920000000000009e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.41534773295466110e+01  -9.07351127679254432e+00  5.58305828999883325e+00   +7.42576825470935842e-01  +4.07931278339730974e-01  +1.09949842274428455e+01  +1.32539934436461749e+02  +2.80472241358017016e+02  +2.70327791034020379e+02  +8.93936917672351683e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.69450000000000003e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.41220664900251052e+01  -9.10506094251374165e+00  5.56799250912179389e+00   +7.43384712330278030e-01  +4.05658219892296779e-01  +1.09669068595740757e+01  +1.32540304674508462e+02  +2.80457846379888338e+02  +2.70030734592856049e+02  +8.93936917672351683e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.79800000000000004e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.49229523673010647e+01  -8.83367949082597548e+00  6.50987067859087887e+00   +7.44712494284157978e-01  +4.56754391397113602e-01  +1.23816304022429726e+01  +1.32533801451311376e+02  +2.84237383114921499e+02  +2.79308133681753588e+02  +8.71711865127664112e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.77010000000000005e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.47347981190503390e+01  -9.01439394881845502e+00  6.41097040792549322e+00   +7.48898691473283362e-01  +4.43289105216294332e-01  +1.22074663613661674e+01  +1.32535793678552466e+02  +2.84179002962946754e+02  +2.77319805419267936e+02  +8.71711865127664112e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.74720000000000013e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.45803632701276982e+01  -9.16272230322805825e+00  6.32979420010336824e+00   +7.52421019844104033e-01  +4.32154961214048283e-01  +1.20627310352686781e+01  +1.32537530345349637e+02  +2.84128323137659720e+02  +2.75709336554200547e+02  +8.71711865127664112e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.80930000000000000e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.49991582097825429e+01  -8.76048689672866487e+00  6.54992706061664443e+00   +7.43048373983379196e-01  +4.62179064013893304e-01  +1.24515455613328800e+01  +1.32533029309454463e+02  +2.84260068535983009e+02  +2.80121214963645230e+02  +8.71711865127664112e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.75719999999999992e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.46478020687838750e+01  -9.09795009606229499e+00  6.36524232578988514e+00   +7.50873005513920666e-01  +4.37026568651533776e-01  +1.21261432611923308e+01  +1.32536759918162801e+02  +2.84150779221217761e+02  +2.76410127538959955e+02  +8.71711865127664112e+01  
+3.15650000000000013e+01  +1.75719999999999999e+02  +1.73460000000000001e+01  -9.94192620364026725e+07  1.10089364642892361e+08   -8.70880223614901479e+03  -3.44953903838209186e+01  -9.24433528425692330e+00  6.28512956173835224e+00   +7.54393950913036404e-01  +4.25994781063651184e-01  +1.19823465520166472e+01  +1.32538529406313444e+02  +2.84099271267361814e+02  +2.74831958865366516e+02  +8.71711865127664112e+01  
