#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.51731607678514990e+01  -8.92169783291666718e+00  6.18176106962523164e+00   +7.47479074175195879e-01  +4.66218548284839107e-01  +1.18021046380689079e+01  +1.32531712456630601e+02  +2.85315005725170465e+02  +2.81359484181938797e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.49811301224658209e+01  -9.10104353472950578e+00  6.08795088641455706e+00   +7.51641159098086820e-01  +4.52568290491402681e-01  +1.16408294730188118e+01  +1.32533761458969281e+02  +2.85274083435538103e+02  +2.79308519312057456e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.48235135712352815e+01  -9.24824842976584627e+00  6.01095256399432998e+00   +7.55141876033542991e-01  +4.41282082206620407e-01  +1.15068185050779910e+01  +1.32535542922297964e+02  +2.85238380175872067e+02  +2.77644080481863512e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.52509366206421220e+01  -8.84905960960178817e+00  6.21975587501163218e+00   +7.45824059872297607e-01  +4.71718059393718969e-01  +1.18668513258947534e+01  +1.32530916731885554e+02  +2.85330848051608086e+02  +2.82196987106870267e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.48923417595455589e+01  -9.18396681621286071e+00  6.04457628557521431e+00   +7.53603507559380881e-01  +4.46220122954424925e-01  +1.15655307622424743e+01  +1.32534753153477908e+02  +2.85254220627635902e+02  +2.78368728508163031e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.47367900539643273e+01  -9.32924326284261340e+00  5.96858667480240968e+00   +7.57102179052264179e-01  +4.35038123752270300e-01  +1.14323946791082918e+01  +1.32536565826373817e+02  +2.85217838994283795e+02  +2.76735991889925629e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.51297990092160290e+01  -8.96219524945504631e+00  6.16057812502927327e+00   +7.48409343837544316e-01  +4.63145353712704544e-01  +1.17658677589860066e+01  +1.32532164332855501e+02  +2.85305996074933375e+02  +2.80894232203977083e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.46913634496795495e+01  -9.37166912778758388e+00  5.94639501855902797e+00   +7.58139009690685706e-01  +4.31757328955042763e-01  +1.13932035014430557e+01  +1.32537114654442092e+02  +2.85206808078627375e+02  +2.76262594418347419e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.44931382673459410e+01  -9.55680017482019295e+00  5.84955870040607362e+00   +7.62747142208733075e-01  +4.17354602003985997e-01  +1.12203954286278460e+01  +1.32539623797881575e+02  +2.85156316405936479e+02  +2.74215888002135046e+02  +8.71638601974536584e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.44607890188401100e+01  -9.58701253319009972e+00  5.83375555126305567e+00   +7.63512551134810424e-01  +4.14990130485812181e-01  +1.11918999694566832e+01  +1.32540052259753878e+02  +2.85147688240437560e+02  +2.73884919406628455e+02  +8.71638601974536584e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79800000000000004e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.48014788062578262e+01  -8.39870478949986321e+00  5.90223456063958807e+00   +7.26076000422252399e-01  +4.54527571478015868e-01  +1.15770244271173404e+01  +1.32533332286068571e+02  +2.80644590505936719e+02  +2.76710614850493528e+02  +8.93385510086556991e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.77010000000000005e+01  -9.94192648905450553e+07  1.10089358562514037e+08   -8.70913248404356455e+03  -3.46152156395865305e+01  -8.58616590060710116e+00  5.81276185774076026e+00   +7.30471448800346201e-01  +4.41450252406515420e-01  +1.14174899578144498e+01  +1.32535000849789014e+02  +2.80575619744840651e+02  +2.74838357002590669e+02  +8.93385510086556991e+01  
