#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.51712295694404986e+01  -8.92677499810159603e+00  6.19497261782265163e+00   +7.47668559262044230e-01  +4.66139649898987540e-01  +1.18188629228370594e+01  +1.32531734378891656e+02  +2.85345148052691343e+02  +2.81365687576925382e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.49792278024688770e+01  -9.10604493831033857e+00  6.10095873577681935e+00   +7.51827458801158754e-01  +4.52487027033419698e-01  +1.16571674427607359e+01  +1.32533786832935419e+02  +2.85303998081597683e+02  +2.79314058586972635e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.48216349543093742e+01  -9.25318764909099301e+00  6.02379321968902204e+00   +7.55325506011314984e-01  +4.41198965630428430e-01  +1.15228056835118498e+01  +1.32535571102147543e+02  +2.85268101296732311e+02  +2.77649060111141125e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.52489937259558914e+01  -8.85416745959411067e+00  6.23304992488781018e+00   +7.46014815335215520e-01  +4.71640151955191878e-01  +1.18837777306154617e+01  +1.32530937245936798e+02  +2.85361080286884601e+02  +2.82203453887497801e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.48904527919336047e+01  -9.18893319023481325e+00  6.05748995160509018e+00   +7.53788309740256124e-01  +4.46137805777144403e-01  +1.15816717864450442e+01  +1.32534780111078533e+02  +2.85284027045281846e+02  +2.78373954135846020e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.47349244789028262e+01  -9.33414826724978219e+00  5.98133533747477575e+00   +7.57284317623529768e-01  +4.34954022107932714e-01  +1.14481865074568230e+01  +1.32536595539465708e+02  +2.85247450855566626e+02  +2.76740658095438334e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.51278743317372317e+01  -8.96725530718098796e+00  6.17374367671552982e+00   +7.48598115828553068e-01  +4.63065911069558800e-01  +1.17825317915230627e+01  +1.32532187037820734e+02  +2.85336087719023965e+02  +2.80900287348369261e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.46895047060708350e+01  -9.37655621009485962e+00  5.95909549441017283e+00   +7.58320360361343648e-01  +4.31672721362556078e-01  +1.14088923207563671e+01  +1.32537145167580292e+02  +2.85236361869498865e+02  +2.76267094923737034e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.44913093337130334e+01  -9.56160905160066221e+00  5.86204890649189281e+00   +7.62924998558668577e-01  +4.17267868089726823e-01  +1.12356290475994065e+01  +1.32539657776748754e+02  +2.85185609546043054e+02  +2.74219653240861874e+02  +8.71705517953980262e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192619797947705e+07  1.10089357848614186e+08   -8.71320423076144471e+03  -3.44589649500296389e+01  -9.59180864726306659e+00  5.84621144249133806e+00   +7.63689828141604132e-01  +4.14903062361548280e-01  +1.12070583925022547e+01  +1.32540086800251260e+02  +2.85176937645548549e+02  +2.73888562789361970e+02  +8.71705517953980262e+01  
