#1:h                      2:Az                      3:vimp                    4:xobs                    5:yobs                    6:zobs                    7:vxobs                   8:vyobs                   9:vzobs                   10:q(AU)                  11:e                      12:i                      13:Omega                  14:omega                  15:M                      16:qapex                  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79800000000000004e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.51715511832943264e+01  -8.92977786084288283e+00  6.19977726091646630e+00   +7.47773917795427900e-01  +4.66141498021732326e-01  +1.18245220875778063e+01  +1.32531734215603365e+02  +2.85364583362824419e+02  +2.81377576438282745e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.77010000000000005e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.49795434561320064e+01  -9.10900261835705827e+00  6.10568943490297222e+00   +7.51931001559725920e-01  +4.52486626200922393e-01  +1.16626905163719776e+01  +1.32533788661426968e+02  +2.85323350249655675e+02  +2.79325290369653828e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.74720000000000013e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.48219457159163426e+01  -9.25610824370023266e+00  6.02846322645462251e+00   +7.55427519339576747e-01  +4.41196759571094943e-01  +1.15282148969165377e+01  +1.32535574543752489e+02  +2.85287381821606004e+02  +2.77659735071245905e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.80930000000000000e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.52493177537937612e+01  -8.85718862213642666e+00  6.23788451661368892e+00   +7.46120895536182660e-01  +4.71642926150564357e-01  +1.18894912232375241e+01  +1.32530936268009128e+02  +2.85380548139804944e+02  +2.82215602218791787e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.75719999999999992e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.48907656898096405e+01  -9.19186997935823769e+00  6.06218646158490504e+00   +7.53890995345303239e-01  +4.46136383497727329e-01  +1.15871309672130476e+01  +1.32534782850793277e+02  +2.85303339240116259e+02  +2.78384874183168336e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.73460000000000001e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.47352325488107780e+01  -9.33704845677115181e+00  5.98597195019046335e+00   +7.57385473376504859e-01  +4.34950838695764674e-01  +1.14535322075280934e+01  +1.32536599859651062e+02  +2.85266690499888171e+02  +2.76751019953548735e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.79170000000000016e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.51281945997415477e+01  -8.97024796737834151e+00  6.17853162278438717e+00   +7.48703068771874536e-01  +4.63067246636137686e-01  +1.17881604707577523e+01  +1.32532187326616793e+02  +2.85355504632816462e+02  +2.80912029888393192e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.72800000000000011e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.46898113660411980e+01  -9.37944571123687254e+00  5.96371461500447619e+00   +7.58421062230805409e-01  +4.31669030553154642e-01  +1.14142044990293048e+01  +1.32537149945385607e+02  +2.85255579669137603e+02  +2.76277290874909340e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69920000000000009e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.44916098412284811e+01  -9.56445191254182703e+00  5.86659169782925538e+00   +7.63023680288363648e-01  +4.17262000292935809e-01  +1.12407928406273765e+01  +1.32539664528615987e+02  +2.85204728251699237e+02  +2.74229109927016111e+02  +8.71780906212501918e+01  
+3.28620000000000019e+01  +1.75159999999999997e+02  +1.69450000000000003e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.44592644534986263e+01  -9.59464389678256779e+00  5.85074177731802081e+00   +7.63788173870651899e-01  +4.14896845099592793e-01  +1.12121976342068486e+01  +1.32540093870689702e+02  +2.85196039565774583e+02  +2.73897896471048284e+02  +8.71780906212501918e+01  
+3.31980000000000004e+01  +1.77789999999999992e+02  +1.79800000000000004e+01  -9.94192606176011413e+07  1.10089358128019869e+08   -8.71472001269196517e+03  -3.48003134079857119e+01  -8.40649607545852362e+00  5.92020086611343288e+00   +7.26375615433781041e-01  +4.54437380437398952e-01  +1.15997918330201895e+01  +1.32533387711232820e+02  +2.80693953471784766e+02  +2.76730513174039629e+02  +8.93525803043346372e+01  
